Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Prob Max,Prob Mean,Prob p99.9,Frac Pixels > 0.5,Test Dice @0.5,Best Threshold,Test Dice @best,Dice Range 0.3-0.7,Diagnosis,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
KDSB,BT-UNet,base,10,0,fold,1.0,0.3241252303123474,1.0,0.30019138095615144,0.48614075779914856,0.9,0.5138450264930725,0.036694854497909546,threshold-sensitive,0.4082113802433014,0.43061718344688416,0.4428931474685669,0.452056884765625,0.45904049277305603,0.4652666747570038,0.4716283679008484,0.476825475692749,0.48124226927757263,0.48614075779914856,0.4902941584587097,0.49433836340904236,0.4983561038970947,0.5019615292549133,0.5063713192939758,0.510125994682312,0.5135214924812317,0.5138450264930725,0.5116219520568848
KDSB,BT-UNet,base,10,1,fold,1.0,0.41689616441726685,1.0,0.43324403505067566,0.5626077651977539,0.9,0.6010318994522095,0.05628401041030884,threshold-sensitive,0.4335725009441376,0.4709583520889282,0.49122515320777893,0.505373477935791,0.5174029469490051,0.5281153917312622,0.5374283790588379,0.5463896989822388,0.5547688603401184,0.5626077651977539,0.5689314007759094,0.5740317106246948,0.5786667466163635,0.584399402141571,0.5903209447860718,0.596020519733429,0.6006706953048706,0.6010318994522095,0.5879088640213013
KDSB,BT-UNet,base,10,2,fold,1.0,0.41445061564445496,1.0,0.3958187618771115,0.6292106509208679,0.65,0.6367210745811462,0.03901320695877075,healthy,0.43594270944595337,0.5008711218833923,0.5376992225646973,0.5637660026550293,0.5840168595314026,0.5977078676223755,0.6089856028556824,0.6171908974647522,0.6235617995262146,0.6292106509208679,0.6335903406143188,0.6357734203338623,0.6367210745811462,0.6349733471870422,0.628923237323761,0.6182121634483337,0.6017152667045593,0.5720449090003967,0.5167544484138489
KDSB,BT-UNet,base,10,3,fold,1.0,0.45096808671951294,0.99951171875,0.3969965754328547,0.5896055698394775,0.85,0.6259453296661377,0.124209463596344,threshold-sensitive,0.2949632406234741,0.3212396502494812,0.3606194853782654,0.40170910954475403,0.44404205679893494,0.49437427520751953,0.5257188677787781,0.5615537762641907,0.5772059559822083,0.5896055698394775,0.598871648311615,0.606802225112915,0.6132713556289673,0.6185837388038635,0.6233435273170471,0.6257168054580688,0.6259453296661377,0.6173352003097534,0.5793027877807617
KDSB,BT-UNet,base,10,4,fold,1.0,0.4944222867488861,1.0,0.47068704141152873,0.5392352342605591,0.85,0.5780333280563354,0.059227049350738525,threshold-sensitive,0.31811031699180603,0.4001973271369934,0.45186281204223633,0.47736239433288574,0.49357467889785767,0.5053510069847107,0.5152344107627869,0.5246948599815369,0.5327001810073853,0.5392352342605591,0.5459052920341492,0.553011417388916,0.5597030520439148,0.5645780563354492,0.5709103941917419,0.5746557116508484,0.5780333280563354,0.5776963829994202,0.5580751895904541
KDSB,BT-UNet,outbn0,10,0,fold,1.0,0.1754349023103714,1.0,0.17189108358847127,0.8206495046615601,0.35,0.8213110566139221,0.005197107791900635,healthy,0.8031138777732849,0.8119485378265381,0.8162936568260193,0.8188018202781677,0.8201982378959656,0.8208542466163635,0.8213110566139221,0.8212571144104004,0.8210466504096985,0.8206495046615601,0.8200332522392273,0.8190958499908447,0.8178110718727112,0.8161139488220215,0.8139495253562927,0.8110420107841492,0.8066228628158569,0.7997646331787109,0.786751389503479
KDSB,BT-UNet,outbn0,10,1,fold,1.0,0.27460339665412903,1.0,0.23742015941722974,0.5560880303382874,0.85,0.5824213027954102,0.05008256435394287,threshold-sensitive,0.39864033460617065,0.4424411952495575,0.47218993306159973,0.4940001964569092,0.5114821791648865,0.5253004431724548,0.5349386930465698,0.5428726077079773,0.5497385859489441,0.5560880303382874,0.5616180300712585,0.5668405294418335,0.5716002583503723,0.5753830075263977,0.5793747901916504,0.5816553235054016,0.5824213027954102,0.5799857378005981,0.5677083134651184
KDSB,BT-UNet,outbn0,10,2,fold,1.0,0.18979160487651825,1.0,0.18140349516997467,0.7971460223197937,0.45,0.7973169684410095,0.00398564338684082,healthy,0.7441931962966919,0.7732576727867126,0.7851530909538269,0.7904411554336548,0.7934790253639221,0.7956267595291138,0.7965491414070129,0.7970659136772156,0.7973169684410095,0.7971460223197937,0.7966190576553345,0.7959862947463989,0.79498690366745,0.7933313250541687,0.7909091114997864,0.7875901460647583,0.7823864221572876,0.7735515236854553,0.7538376450538635
KDSB,BT-UNet,outbn0,10,3,fold,0.99951171875,0.24668177962303162,0.99658203125,0.1546981399123733,0.6684175729751587,0.35,0.7043604850769043,0.11898541450500488,threshold-sensitive,0.30876991152763367,0.45081448554992676,0.5697591304779053,0.636207103729248,0.6731624603271484,0.7009149789810181,0.7043604850769043,0.6953641772270203,0.6825472116470337,0.6684175729751587,0.6520582437515259,0.6331521272659302,0.6111626029014587,0.5853750705718994,0.5536062121391296,0.5146931409835815,0.4679599106311798,0.4104914963245392,0.32259994745254517
KDSB,BT-UNet,outbn0,10,4,fold,0.9990234375,0.2005336731672287,0.9833984375,0.12457550323761261,0.6922315955162048,0.35,0.7512058019638062,0.21535968780517578,threshold-sensitive,0.3822803199291229,0.6212335824966431,0.6824132800102234,0.7074936628341675,0.7275331616401672,0.7485776543617249,0.7512058019638062,0.7406290173530579,0.7191409468650818,0.6922315955162048,0.6601291298866272,0.6237275004386902,0.5823875665664673,0.5358461141586304,0.4847835898399353,0.42746421694755554,0.3592659831047058,0.2737111747264862,0.15105968713760376
