Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Dice @0.5,Best Threshold,Test Dice @best,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
KDSB,BT-UNet,base,1,ensemble,filtered,5,5,,0.5259873270988464,0.65,0.5327886343002319,0.3144325315952301,0.39455458521842957,0.4315184950828552,0.46146857738494873,0.48273447155952454,0.49782586097717285,0.5081250667572021,0.5150032639503479,0.5215546488761902,0.5259873270988464,0.5288686752319336,0.5317479372024536,0.5327886343002319,0.5292315483093262,0.5213015675544739,0.5048054456710815,0.47149574756622314,0.4032568633556366,0.2791529893875122
KDSB,BT-UNet,base,1,ensemble,unfiltered,5,5,,0.5259873270988464,0.65,0.5327886343002319,0.3144325315952301,0.39455458521842957,0.4315184950828552,0.46146857738494873,0.48273447155952454,0.49782586097717285,0.5081250667572021,0.5150032639503479,0.5215546488761902,0.5259873270988464,0.5288686752319336,0.5317479372024536,0.5327886343002319,0.5292315483093262,0.5213015675544739,0.5048054456710815,0.47149574756622314,0.4032568633556366,0.2791529893875122
KDSB,BT-UNet,base,5,ensemble,filtered,5,5,,0.5428587198257446,0.85,0.6113010048866272,0.2908337712287903,0.2987699806690216,0.3583753705024719,0.41325491666793823,0.4511615037918091,0.4757063686847687,0.49561694264411926,0.5124986171722412,0.5284099578857422,0.5428587198257446,0.5556217432022095,0.5663905739784241,0.5754234194755554,0.5850104093551636,0.5953853726387024,0.6058623194694519,0.6113010048866272,0.5976508855819702,0.5155695080757141
KDSB,BT-UNet,base,5,ensemble,unfiltered,5,5,,0.5428587198257446,0.85,0.6113010048866272,0.2908337712287903,0.2987699806690216,0.3583753705024719,0.41325491666793823,0.4511615037918091,0.4757063686847687,0.49561694264411926,0.5124986171722412,0.5284099578857422,0.5428587198257446,0.5556217432022095,0.5663905739784241,0.5754234194755554,0.5850104093551636,0.5953853726387024,0.6058623194694519,0.6113010048866272,0.5976508855819702,0.5155695080757141
KDSB,BT-UNet,base,10,ensemble,filtered,5,5,,0.5704097151756287,0.8,0.6013430953025818,0.3205217123031616,0.4287097454071045,0.46209847927093506,0.48216521739959717,0.4987897574901581,0.5147503614425659,0.5298399925231934,0.5439481735229492,0.5573065280914307,0.5704097151756287,0.5809828639030457,0.5887061953544617,0.5921066403388977,0.5960431694984436,0.6007727980613708,0.6013430953025818,0.5993298292160034,0.5861697793006897,0.5433594584465027
KDSB,BT-UNet,base,10,ensemble,unfiltered,5,5,,0.5704097151756287,0.8,0.6013430953025818,0.3205217123031616,0.4287097454071045,0.46209847927093506,0.48216521739959717,0.4987897574901581,0.5147503614425659,0.5298399925231934,0.5439481735229492,0.5573065280914307,0.5704097151756287,0.5809828639030457,0.5887061953544617,0.5921066403388977,0.5960431694984436,0.6007727980613708,0.6013430953025818,0.5993298292160034,0.5861697793006897,0.5433594584465027
KDSB,BT-UNet,base,20,ensemble,filtered,5,5,,0.5876528024673462,0.75,0.6092137098312378,0.2906879186630249,0.36147961020469666,0.4431484341621399,0.4795532524585724,0.5070887804031372,0.5274091958999634,0.5444463491439819,0.5618839263916016,0.5766109824180603,0.5876528024673462,0.5950593948364258,0.6004940867424011,0.6048977971076965,0.6081621050834656,0.6092137098312378,0.6045035719871521,0.594125509262085,0.5661055445671082,0.4728652238845825
KDSB,BT-UNet,base,20,ensemble,unfiltered,5,5,,0.5876528024673462,0.75,0.6092137098312378,0.2906879186630249,0.36147961020469666,0.4431484341621399,0.4795532524585724,0.5070887804031372,0.5274091958999634,0.5444463491439819,0.5618839263916016,0.5766109824180603,0.5876528024673462,0.5950593948364258,0.6004940867424011,0.6048977971076965,0.6081621050834656,0.6092137098312378,0.6045035719871521,0.594125509262085,0.5661055445671082,0.4728652238845825
KDSB,BT-UNet,base,50,ensemble,filtered,5,5,,0.7780133485794067,0.7,0.8529430031776428,0.2908146381378174,0.2908146381378174,0.32980775833129883,0.4668114483356476,0.5181894302368164,0.5625242590904236,0.6055620312690735,0.6469839215278625,0.6922247409820557,0.7780133485794067,0.8226932287216187,0.8382743000984192,0.8478817343711853,0.8529430031776428,0.8528844714164734,0.8454551100730896,0.825646698474884,0.7757159471511841,0.5969088673591614
KDSB,BT-UNet,base,50,ensemble,unfiltered,5,5,,0.7780133485794067,0.7,0.8529430031776428,0.2908146381378174,0.2908146381378174,0.32980775833129883,0.4668114483356476,0.5181894302368164,0.5625242590904236,0.6055620312690735,0.6469839215278625,0.6922247409820557,0.7780133485794067,0.8226932287216187,0.8382743000984192,0.8478817343711853,0.8529430031776428,0.8528844714164734,0.8454551100730896,0.825646698474884,0.7757159471511841,0.5969088673591614
