Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
ISIC2018,BT-UNet,5,sslbudget5,5,5,0.00011206419731019999,0.0001120641973102,1.5152185993940876e-20,-0.568839542553178,-0.557306282207719,0.02120322060021666,26.8279783188864,clear
ISIC2018,BT-UNet,10,outbn0,5,0,0.8146158814430237,0.8133842349052429,0.005800575532577425,0.06516405344009402,0.018399059772491455,0.0568991011492128,1.1452562891847293,noise
ISIC2018,BT-UNet,10,base,5,0,0.7494518280029296,0.7949851751327515,0.12709796175168434,0.0,0.0,,,reference
ISIC2018,BT-UNet,10,frozen,5,0,0.6649263143539429,0.6271876096725464,0.06953518034703152,-0.08452551364898675,-0.16779756546020508,0.06479048261485142,1.3045976853028045,noise
ISIC2018,BT-UNet,20,sslbudget20,5,0,0.8311790227890015,0.834220826625824,0.0060390713364915916,0.0008147358894348145,0.003336608409881592,0.003256386261979118,0.25019632927073165,noise
ISIC2018,BT-UNet,20,base,5,0,0.8303642868995667,0.8308842182159424,0.0040681537371143345,0.0,0.0,,,reference
ISIC2018,BT-UNet,50,base,5,0,0.847833514213562,0.8476561903953552,0.005920047488911567,0.0,0.0,,,reference
ISIC2018,SimSiam-UNET,1,frozen,5,0,0.5620113849639893,0.5623061060905457,0.013949759899872322,0.0316530883312226,0.046121060848236084,0.02511391609580765,1.2603804285428253,noise
ISIC2018,SimSiam-UNET,1,base,5,0,0.5303582966327667,0.5161850452423096,0.05439621408767569,0.0,0.0,,,reference
ISIC2018,SimSiam-UNET,5,outbn0,5,0,0.7504308819770813,0.7607953548431396,0.032999573868438076,0.11934193372726443,0.1654202938079834,0.04713692755096488,2.531814013508429,weak
ISIC2018,SimSiam-UNET,5,outtanh,5,0,0.7351996779441834,0.7958697080612183,0.11090879936053748,0.10411072969436652,0.200494647026062,0.06681502764322113,1.5581933191780892,noise
ISIC2018,SimSiam-UNET,5,outsoftmax,5,0,0.7308109879493714,0.7946714162826538,0.10250650009289472,0.09972203969955451,0.19929635524749756,0.0640750503402388,1.5563318197961615,noise
ISIC2018,SimSiam-UNET,5,aug100,5,0,0.6630318999290467,0.6037715673446655,0.11624367091338224,0.03194295167922978,0.008396506309509277,0.06860476491708832,0.4656083541403305,noise
ISIC2018,SimSiam-UNET,5,aug025,5,0,0.652071225643158,0.6179044842720032,0.08050767683279744,0.02098227739334113,0.022529423236846924,0.05744904498464741,0.36523283196349743,noise
ISIC2018,SimSiam-UNET,5,attn,5,0,0.6489709973335266,0.5842428803443909,0.13073043252054206,0.017882049083709717,-0.01113218069076538,0.07363548574734068,0.24284553706981585,noise
ISIC2018,SimSiam-UNET,5,w8,5,0,0.6446063399314881,0.6221860647201538,0.1331944647363302,0.01351739168167121,0.02681100368499756,0.07451341255857709,0.18140883926158674,noise
ISIC2018,SimSiam-UNET,5,proj2048,5,0,0.64344801902771,0.5944405198097229,0.09157799796507232,0.01235907077789311,-0.0009345412254333496,0.060674554024758756,0.20369446428646001,noise
ISIC2018,SimSiam-UNET,5,proj512,5,0,0.6378654718399048,0.6079984903335571,0.09931347672033271,0.006776523590087957,0.012623429298400879,0.06306131060722751,0.10745928882282528,noise
ISIC2018,SimSiam-UNET,5,base,5,0,0.6310889482498169,0.5953750610351562,0.1001023367320966,0.0,0.0,,,reference
ISIC2018,SimSiam-UNET,5,e50,5,0,0.629086685180664,0.6007146239280701,0.08973133062073031,-0.0020022630691528542,0.005339562892913818,0.06012019546573825,0.0333043339869698,noise
ISIC2018,SimSiam-UNET,5,w32,5,0,0.6274607479572296,0.6137220859527588,0.12075429586799459,-0.003628200292587258,0.01834702491760254,0.07014567383638315,0.05172379270388281,noise
ISIC2018,SimSiam-UNET,5,nostopgrad,5,0,0.6257294416427612,0.5964796543121338,0.09461194229647363,-0.005359506607055642,0.001104593276977539,0.06159853479481036,0.0870070469193559,noise
ISIC2018,SimSiam-UNET,5,actmish,5,0,0.6256676912307739,0.6051691770553589,0.10214700011730497,-0.0054212570190429465,0.009794116020202637,0.06396012422156598,0.08475995137631416,noise
ISIC2018,SimSiam-UNET,5,sslbudget5,5,0,0.6233624815940857,0.5962406396865845,0.08853105383312666,-0.007726466655731179,0.0008655786514282227,0.05976324173274075,0.1292845975505091,noise
ISIC2018,SimSiam-UNET,5,e25,5,0,0.6224336266517639,0.5864264369010925,0.10677146399169565,-0.008655321598052934,-0.00894862413406372,0.06545322504224833,0.13223674757761977,noise
ISIC2018,SimSiam-UNET,5,bs32,5,0,0.6223213911056519,0.5776407718658447,0.09544137831713805,-0.008767557144164995,-0.017734289169311523,0.06185391582479015,0.1417461938707377,noise
ISIC2018,SimSiam-UNET,5,cropflip,5,0,0.6145368456840515,0.5877726674079895,0.07452544874974074,-0.016552102565765336,-0.007602393627166748,0.05581132560793784,0.2965724677826178,noise
ISIC2018,SimSiam-UNET,5,actelu,5,0,0.6111101388931275,0.5991328954696655,0.08987037447750401,-0.019978809356689387,0.0037578344345092773,0.06016171877191153,0.33208508274895143,noise
ISIC2018,SimSiam-UNET,5,e200,5,0,0.6105106592178344,0.5960971713066101,0.0932907513958394,-0.020578289031982444,0.0007221102714538574,0.06119418618664091,0.3362784982419591,noise
ISIC2018,SimSiam-UNET,5,actleakyrelu,5,0,0.6099504351615905,0.5764462351799011,0.1122011928921782,-0.02113851308822634,-0.018928825855255127,0.06724520132418943,0.31434976283761085,noise
ISIC2018,SimSiam-UNET,5,bs64,5,0,0.6054895281791687,0.5913923978805542,0.037582540194373015,-0.025599420070648193,-0.003982663154602051,0.04781824996105089,0.5353483260365977,noise
ISIC2018,SimSiam-UNET,5,noskip,5,0,0.6027783989906311,0.5578837394714355,0.11431673818231133,-0.028310549259185747,-0.0374913215637207,0.06795409398685141,0.416612857271905,noise
ISIC2018,SimSiam-UNET,5,proj256,5,0,0.5922822713851928,0.5778078436851501,0.03389258538755027,-0.03880667686462402,-0.017567217350006104,0.0472634851941294,0.8210709960391199,noise
ISIC2018,SimSiam-UNET,5,d5,5,0,0.5911298334598541,0.548591673374176,0.13442844096250212,-0.039959114789962724,-0.046783387660980225,0.0749552980900416,0.5331059419170211,noise
ISIC2018,SimSiam-UNET,5,frozen,5,0,0.5893665432929993,0.5945989489555359,0.016507326197353317,-0.04172240495681756,-0.0007761120796203613,0.04537173048807348,0.919568297439852,noise
ISIC2018,SimSiam-UNET,5,d3,5,0,0.5860637903213501,0.5524289608001709,0.0939391923223056,-0.04502515792846673,-0.04294610023498535,0.061392262824224324,0.7334011788648485,noise
ISIC2018,SimSiam-UNET,5,pred32,5,0,0.5832562327384949,0.5862603783607483,0.02233114689796754,-0.047832715511321955,-0.009114682674407959,0.04586754395213387,1.042844490675997,noise
ISIC2018,SimSiam-UNET,5,actgelu,5,0,0.5818051695823669,0.579984724521637,0.014591248299515639,-0.04928377866744993,-0.015390336513519287,0.04524020854541715,1.089380006238773,noise
ISIC2018,SimSiam-UNET,5,outhard,5,0,0.5812161922454834,0.5850223898887634,0.010267499031161895,-0.049872756004333496,-0.010352671146392822,0.045001998523578855,1.108234248267943,noise
ISIC2018,SimSiam-UNET,5,pred128,5,0,0.5672389388084411,0.5768803358078003,0.02422611052832743,-0.06385000944137575,-0.018494725227355957,0.04605948816597248,1.3862509546631574,noise
ISIC2018,SimSiam-UNET,5,actsilu,5,0,0.5602704048156738,0.567021369934082,0.015959180015579052,-0.07081854343414307,-0.02835369110107422,0.045332489995577596,1.5622028139431952,noise
ISIC2018,SimSiam-UNET,5,e0,5,1,0.3559994027018547,0.4140327274799347,0.24077594293686563,-0.27508954554796217,-0.18134233355522156,0.11661349194356786,2.35898557673828,weak
ISIC2018,SimSiam-UNET,10,outbn0,5,0,0.8196855306625366,0.8250868320465088,0.012086091284129798,0.08695943355560298,0.016752004623413086,0.05531170563470525,1.5721705298677395,noise
ISIC2018,SimSiam-UNET,10,base,5,0,0.7327260971069336,0.8083348274230957,0.12308879030428849,0.0,0.0,,,reference
ISIC2018,SimSiam-UNET,10,frozen,5,0,0.6437421798706054,0.5998178124427795,0.07165684872446233,-0.08898391723632815,-0.20851701498031616,0.0636954539471909,1.3970214783319326,noise
ISIC2018,SimSiam-UNET,20,base,5,0,0.8402344703674316,0.8414045572280884,0.003555743002480192,0.0,0.0,,,reference
ISIC2018,SimSiam-UNET,20,sslbudget20,5,0,0.8333992719650268,0.8346830606460571,0.006793667343336275,-0.006835198402404763,-0.00672149658203125,0.0034292046970573397,1.9932313776048907,noise
ISIC2018,SimSiam-UNET,50,base,5,0,0.8524402260780335,0.8507272601127625,0.004265498805553004,0.0,0.0,,,reference
ISIC2018,UNet,1,base,5,2,0.3220338408747921,0.4510755836963653,0.2983323211235869,0.0,0.0,,,reference
ISIC2018,UNet,5,actelu,5,0,0.46915671825408933,0.4196604192256927,0.078542845279975,0.23560022577408934,0.3570075852256927,0.13554068306936967,1.738225161913263,noise
ISIC2018,UNet,5,actmish,5,2,0.2785847067832946,0.3498566746711731,0.2307481002877114,0.04502821430329462,0.2872038406711731,0.16669258596366557,0.27012727676508386,noise
ISIC2018,UNet,5,outtanh,5,2,0.2669780725773307,0.4242082238197326,0.2446745417339052,0.033421580097330705,0.3615553898197326,0.17061830890181687,0.1958850741895661,noise
ISIC2018,UNet,5,outhard,5,2,0.23452750146680046,0.1402451545000076,0.24750528258023347,0.0009710089868004701,0.0775923205000076,0.17143294327229155,0.005664074642049343,noise
ISIC2018,UNet,5,base,5,3,0.23355649248,0.062652834,0.2927241112205868,0.0,0.0,,,reference
ISIC2018,UNet,5,actleakyrelu,5,2,0.23074123617843725,0.1842166632413864,0.22770499761635687,-0.002815256301562735,0.12156382924138641,0.16585353250946905,0.016974352363595294,noise
ISIC2018,UNet,5,actsilu,5,2,0.22454331592016383,0.1628227680921554,0.2257066748598113,-0.009013176559836161,0.1001699340921554,0.16530632677919804,0.054524087102093714,noise
ISIC2018,UNet,5,lossdice,5,2,0.21579076201014685,0.2075291574001312,0.2015922223840138,-0.017765730469853136,0.14487632340013118,0.15895082850718845,0.11176871889692411,noise
ISIC2018,UNet,5,w8,5,3,0.21306844935170374,0.098828449845314,0.2512791890231153,-0.020488043128296246,0.036175615845313994,0.1725274680310338,0.1187523549850677,noise
ISIC2018,UNet,5,actgelu,5,3,0.21130845453881192,0.0484337285161018,0.26672152607527644,-0.02224803794118807,-0.014219105483898202,0.17710323416685922,0.12562186142928877,noise
ISIC2018,UNet,5,d3,5,2,0.16219162942143153,0.1423965096473693,0.1451229713062738,-0.07136486305856846,0.0797436756473693,0.14611507936598742,0.48841545559999694,noise
ISIC2018,UNet,5,outbn0,5,4,0.12211780012876257,0.0863100439310073,0.17453868518484333,-0.11143869235123742,0.023657209931007298,0.15241466984246385,0.7311546353538062,noise
ISIC2018,UNet,5,d5,5,4,0.11922654771187806,0.0001120641973102,0.2601523191434689,-0.11432994476812193,-0.0625407698026898,0.17513802239696996,0.6527991078315382,noise
ISIC2018,UNet,5,lossbce,5,4,0.08668978835921728,0.000318589474773,0.1671483380959399,-0.1468667041207827,-0.062334244525227005,0.1507487792442228,0.974248049351359,noise
ISIC2018,UNet,5,w32,5,4,0.05451240540132853,0.0314501225948333,0.06239403630677035,-0.17904408707867145,-0.031202711405166707,0.13385097762551681,1.3376374999635356,noise
ISIC2018,UNet,5,outsoftmax,5,4,0.0447657246011658,0.0147136561572551,0.07354078011485986,-0.1887907678788342,-0.0479391778427449,0.13497825871582772,1.398675384280212,noise
ISIC2018,UNet,5,attn,5,5,0.0161873433127766,0.0001120641973102,0.035751161513031114,-0.21736914916722339,-0.0625407698026898,0.1318829411557183,1.6481976157217244,noise
ISIC2018,UNet,5,noskip,5,5,0.00861064503551456,0.0057245711795985,0.010371684886511625,-0.22494584744448543,-0.056928262820401504,0.1309923487363041,1.7172441720036309,noise
ISIC2018,UNet,10,outbn0,5,0,0.8121460199356079,0.8095375895500183,0.006932983572551734,0.010350107935607866,0.010979529550018352,0.0046257488738796,2.237498882408475,weak
ISIC2018,UNet,10,base,5,0,0.801795912,0.79855806,0.0076760342628026165,0.0,0.0,,,reference
ISIC2018,UNet,20,base,5,0,0.835149648,0.83532476,0.003778212410422434,0.0,0.0,,,reference
ISIC2018,UNet,50,base,5,0,0.8495929520000001,0.8508305,0.003948091231186249,0.0,0.0,,,reference
