Dataset,Model,Label Fraction (%),Kind,Fold,Val Source,File,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,BT-UNet,50,ensemble,,val folder,model_ISIC2018_BT-UNet_50pct_ensemble.keras,0.9779548,0.96928895,0.9371541,0.94087404,0.9410406,3.993121253271434,0.8146266108602269,0.022045244,0.9297553,0.88356674,0.86615527,0.84216934,0.8762896,5.154145943766959,0.5836559523809525,0.07024475,0.91532373,0.8768742,0.8303826,0.8157095,0.8605533,5.493647894547845,0.5485974292374292,0.08467625
ISIC2018,BT-UNet,50,fold,0.0,val folder,model_ISIC2018_BT-UNet_50pct_fold0.keras,0.98290324,0.97569144,0.95161384,0.95374775,0.9498676,3.9154082626574733,0.8156149822336444,0.01709673,0.92504305,0.87318003,0.86033535,0.8328316,0.8711428,5.349101475341817,0.4725055914673561,0.07495697,0.9100527,0.8624785,0.8279903,0.8061483,0.85171956,5.855790311007481,0.44834169746103575,0.08994737
ISIC2018,BT-UNet,50,fold,1.0,val folder,model_ISIC2018_BT-UNet_50pct_fold1.keras,0.9796149,0.96503216,0.9492063,0.9456341,0.9442724,4.0153297529706276,0.7798412559261162,0.020385081,0.91908693,0.84379673,0.87663686,0.82329714,0.8505577,5.751129751558324,0.43778875661375666,0.08091309,0.9059613,0.83995754,0.8427048,0.80042267,0.8415343,6.118033755880507,0.4074804585177689,0.09403868
ISIC2018,BT-UNet,50,fold,2.0,val folder,model_ISIC2018_BT-UNet_50pct_fold2.keras,0.97652376,0.9664278,0.93549085,0.93785,0.9388952,4.198890172938485,0.7658389531149646,0.023476264,0.92632324,0.87948775,0.85738397,0.8349676,0.8695839,5.426576103589638,0.5292722222222224,0.07367676,0.9135419,0.87717205,0.82300544,0.81183803,0.8555321,5.664549693072193,0.49693834643254925,0.08645802
ISIC2018,BT-UNet,50,fold,3.0,val folder,model_ISIC2018_BT-UNet_50pct_fold3.keras,0.96968615,0.95332795,0.9139201,0.918161,0.91392905,4.327967132159919,0.7103445270208276,0.03031382,0.9246605,0.8792912,0.8508326,0.83129215,0.8631906,5.253206522559472,0.5931749999999999,0.07533951,0.9070692,0.86926174,0.8073034,0.7989016,0.8476554,5.679110560789275,0.538399764957265,0.09293076
ISIC2018,BT-UNet,50,fold,4.0,val folder,model_ISIC2018_BT-UNet_50pct_fold4.keras,0.97755414,0.96595436,0.9399837,0.94041073,0.9381309,4.123558150748982,0.7541616381182006,0.022445899,0.92136884,0.85805595,0.86560255,0.82650304,0.85678756,5.6335905459782225,0.44482103174603177,0.07863113,0.9062468,0.846613,0.834251,0.8001188,0.84272474,6.088370500911371,0.39504935046048434,0.093753204
ISIC2018,BT-UNet,5,ensemble,,val folder,model_ISIC2018_BT-UNet_5pct_ensemble.keras,0.7051108,0.4404313,0.9252416,0.5240456,0.57455033,9.437900477833448,0.0919109650601056,0.29488924,0.6032574,0.40914875,0.90207857,0.42941654,0.55407023,11.22405348673326,0.05620073270577107,0.39674255,0.63475025,0.44022742,0.8638632,0.46051127,0.56570584,10.51520940147751,0.07114169708897139,0.36524978
ISIC2018,BT-UNet,5,fold,0.0,val folder,model_ISIC2018_BT-UNet_5pct_fold0.keras,0.72347784,0.4526142,0.89638865,0.54032964,0.56232387,9.924960815715192,0.07079018437274369,0.27652216,0.60271055,0.4068895,0.8795484,0.42814898,0.5520379,11.353231324524787,0.03574443001443001,0.39728943,0.63135,0.4357183,0.8339898,0.4557706,0.55869484,10.665880337317361,0.05174668979437675,0.36865
ISIC2018,BT-UNet,5,fold,1.0,val folder,model_ISIC2018_BT-UNet_5pct_fold1.keras,0.61991554,0.3384142,0.9145568,0.43068224,0.4768984,11.237133947862013,0.043519829855775224,0.38008443,0.5396263,0.37156916,0.90446657,0.36929333,0.5185015,11.90207982183566,0.02252326486611908,0.4603737,0.5763771,0.4009351,0.87397647,0.4038338,0.5294942,11.285668399007466,0.035053541260275205,0.42362294
ISIC2018,BT-UNet,5,fold,2.0,val folder,model_ISIC2018_BT-UNet_5pct_fold2.keras,0.84546345,0.6524322,0.8624807,0.6960001,0.6846485,7.544451401400394,0.1382151810646069,0.15453658,0.7777699,0.57062393,0.87045497,0.61550045,0.666594,8.89376542904476,0.09740197445378998,0.22223008,0.7667777,0.57394,0.8215667,0.60110754,0.65115476,8.908074810978826,0.08368954282764003,0.2332223
