Model,Label Fraction (%),Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Full Accuracy,Full Precision,Full Recall,Full MeanIoU,Full Dice,Full HD,Full MyIoU,Full MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
UNet_5pct,5,0.7275294,0.6933588,0.18268098,0.44028383,0.2912799191304253,9.4484190758427,0.02612091503267974,0.2724706,0.8001694,0.8402281,0.15773565,0.47290996,0.1986178152472751,8.658804525620257,0.017614124759887932,0.19983056,0.7859654,0.8198222,0.23667032,0.4983778,0.37655501851594847,8.16815584950897,0.025925143232835533,0.21403465,0.7618358,0.85526365,0.2346964,0.484898,0.32241740978787675,9.146070577818161,0.03634579334862843,0.23816419
UNet_10pct,10,0.9831272,0.97982293,0.96534854,0.96123654,0.9694537069257452,3.8421155924819494,0.9299263351749552,0.01687285,0.90370536,0.79572517,0.7798828,0.76627386,0.755515421027392,5.889792465067967,0.4712393777515207,0.09629463,0.93081725,0.9746983,0.8579488,0.8654772,0.9141178425305929,5.419358135908119,0.713461538461538,0.06918276,0.87466955,0.8059997,0.75907505,0.7400925,0.7859970028888401,6.472200677893658,0.4202498412698413,0.12533043
UNet_20pct,20,0.9923364,0.98826486,0.98896456,0.9830003,0.9863710233849057,3.4564785526243242,0.9958563535911599,0.0076636635,0.921054,0.79242235,0.8880221,0.8106628,0.7893642288803095,5.860100677107361,0.5172181132069344,0.07894592,0.91261625,0.76837736,0.9234906,0.8046446,0.7959316175144452,6.36692097800647,0.5248114385614385,0.08738376,0.89731747,0.8113029,0.8508067,0.78651726,0.8297529054358601,6.0986997066853545,0.492589047619048,0.10268254
UNet_50pct,50,0.9867268,0.976849,0.9759045,0.96777666,0.9686040719262557,3.8185339411484964,0.9312568908489434,0.013273127,0.94629073,0.86039853,0.913831,0.86395067,0.8499781737318826,5.1043917966598364,0.6193933771188964,0.05370918,0.9227078,0.8376005,0.8516109,0.81654537,0.8276010896554605,5.710112790540678,0.5454176934176937,0.07729218,0.91065407,0.83906347,0.86365384,0.81045437,0.8436992889055982,5.872835983819428,0.5126820021645021,0.08934595
