,,,Train Accuracy,Train Accuracy,Train Precision,Train Precision,Train Recall,Train Recall,Train MeanIoU,Train MeanIoU,Train Dice,Train Dice,Train HD,Train HD,Train MyIoU,Train MyIoU,Train MAE,Train MAE,Val Accuracy,Val Accuracy,Val Precision,Val Precision,Val Recall,Val Recall,Val MeanIoU,Val MeanIoU,Val Dice,Val Dice,Val HD,Val HD,Val MyIoU,Val MyIoU,Val MAE,Val MAE,Test Accuracy,Test Accuracy,Test Precision,Test Precision,Test Recall,Test Recall,Test MeanIoU,Test MeanIoU,Test Dice,Test Dice,Test HD,Test HD,Test MyIoU,Test MyIoU,Test MAE,Test MAE
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Dataset,Model,Label Fraction (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISIC2018,BT-UNet,5,0.70938694,0.0847347,0.45837134,0.1166707,0.8975626,0.020811148,0.5324305,0.09967663,0.56576335,0.07496676,9.669239580785739,1.3364496289857049,0.06312517676301467,0.044943575928602555,0.29061303,0.08473468,0.6289645,0.089061975,0.43565336,0.077911235,0.8886281,0.021447381,0.4578569,0.093199864,0.5644638,0.05931337,10.903534617288036,1.1624079444367557,0.040095660155255015,0.03258085126426369,0.37103552,0.089061975,0.64479417,0.07174161,0.45532742,0.06784862,0.85268605,0.028082592,0.47236657,0.07503986,0.5689517,0.047411975,10.47484320290743,0.9301261956990368,0.04288999872341008,0.025936175281849726,0.35520583,0.07174162
ISIC2018,BT-UNet,10,0.9012481,0.14353444,0.8374175,0.24546164,0.89650136,0.06675443,0.8176875,0.20254192,0.8189826,0.1720641,5.5998692461083355,2.565612576569156,0.564874086472335,0.2954724820359528,0.09875189,0.14353444,0.833214,0.16593014,0.7616984,0.22075045,0.82014644,0.043796554,0.70963967,0.19227134,0.7666971,0.13360068,6.6875548483700555,2.371138660789532,0.40992562205910027,0.19550262814808195,0.16678599,0.16593014,0.82521695,0.1438882,0.75565094,0.2030566,0.7820924,0.045731504,0.6908013,0.16562897,0.74945176,0.12709817,6.978745312427428,2.076111155086391,0.3816255076932419,0.1774292607423779,0.17478299,0.14388822
ISIC2018,BT-UNet,20,0.97903144,0.0068295267,0.9705008,0.010041752,0.9402439,0.024321606,0.9436593,0.01830128,0.939943,0.018202435,4.107374429940255,0.24369223797805806,0.7943346875424404,0.06802189088774642,0.02096857,0.00682951,0.9146992,0.0020425082,0.87691194,0.012141501,0.81327534,0.010477845,0.80947715,0.0035506792,0.8443204,0.009139178,5.6041578901828855,0.13124877281981517,0.5057305627705627,0.031729214375906714,0.08530088,0.002042519,0.8993759,0.0020486522,0.8680183,0.014655776,0.7786776,0.013868378,0.7826177,0.003385261,0.83036435,0.004068415,5.928369047746175,0.08413509150152197,0.466139959063812,0.03279449986394864,0.10062411,0.0020486438
ISIC2018,BT-UNet,50,0.9772564,0.004883224,0.96528673,0.007954289,0.93804294,0.015008172,0.9391607,0.01321889,0.93701905,0.013744099,4.116230694295098,0.15986654524663363,0.7651602712827507,0.03836471532131845,0.022743559,0.0048832214,0.9232966,0.002979446,0.86676234,0.015518659,0.8621583,0.009693825,0.8297783,0.0047769295,0.86225253,0.0086646015,5.482720879805495,0.2052365707752328,0.4955125204098733,0.06540003076310992,0.07670349,0.0029794471,0.9085744,0.0032161097,0.8590965,0.015521225,0.827051,0.013267403,0.8034859,0.005444786,0.8478333,0.0059199007,5.881170964332165,0.21646765889163502,0.45724192356582066,0.060385707716396675,0.09142561,0.003216109
ISIC2018,Baseline,5,0.73704064,0.11064873,0.41872996,0.4521728,0.2750972,0.40340897,0.4272589,0.09988777,0.1963693,0.2635655,10.099539763862316,1.5093974713336928,0.014485190440745815,0.022137702191742603,0.2629594,0.11064874,0.6977695,0.10740366,0.40711522,0.43271604,0.3135175,0.42497218,0.41411948,0.11520112,0.24051079,0.3056835,10.781478805404577,1.7295559840963866,0.025466352047756456,0.04112081402104835,0.30223048,0.10740366,0.687708,0.095784135,0.3798396,0.38669565,0.2999445,0.4076839,0.40636954,0.10275863,0.23355655,0.29272422,10.872506709099294,1.5491018734911777,0.026153470548278674,0.04255219894328649,0.31229204,0.09578414
ISIC2018,Baseline,10,0.97610646,0.0054797693,0.9376836,0.010211719,0.963196,0.014728546,0.9371704,0.012669383,0.923526,0.014328711,4.210435341885953,0.2900591923082429,0.749759692350725,0.06778500411631394,0.023893576,0.0054797796,0.9029118,0.0043235025,0.81868076,0.017985517,0.8451053,0.015833555,0.79193616,0.0069297096,0.8236871,0.005599451,5.801621610741863,0.16544454744561723,0.4695755627705628,0.02385707656676634,0.097088195,0.004323503,0.8848473,0.0063810484,0.8083168,0.02118912,0.8017844,0.020267794,0.76116335,0.010528799,0.8017958,0.007675763,6.162912255340851,0.1766260997081959,0.4333528519389107,0.030877814120999904,0.1151528,0.006381045
ISIC2018,Baseline,20,0.99298304,0.001595657,0.9849757,0.0026476309,0.98547107,0.004984312,0.9808663,0.0044474583,0.97698134,0.0055580363,3.281668866339202,0.1251843647885214,0.9628238170071592,0.01996668546515053,0.007016943,0.001595672,0.91878605,0.0023407126,0.8710901,0.006696693,0.83736897,0.017193533,0.8192131,0.0057938285,0.853804,0.004339599,5.597466903607389,0.14649692113106758,0.5350035714285715,0.03174806806217149,0.08121393,0.00234072,0.90366554,0.0012246526,0.86300486,0.009039505,0.80182064,0.008634414,0.79244375,0.0019249552,0.8351499,0.0037780267,5.882223596810986,0.07586192435019423,0.4960429483294483,0.021822284350116825,0.09633445,0.0012246257
ISIC2018,Baseline,50,0.9895605,0.0023165576,0.9786008,0.006131536,0.9774702,0.004227259,0.9717267,0.006372562,0.967337,0.006474106,3.5565429796365997,0.13379831139675774,0.9231238646632096,0.027261227079675612,0.010439439,0.0023165168,0.9246787,0.0025305087,0.8597048,0.005377213,0.8772893,0.0071517946,0.8335965,0.0051008104,0.8667425,0.00404882,5.433207541669723,0.07339508422961581,0.54193675078963,0.02272518181685118,0.075321324,0.0025305022,0.911109,0.0029512749,0.85320216,0.006466844,0.8449505,0.005795143,0.80959857,0.0055452203,0.84959304,0.0039482526,5.789479000295167,0.05171715012663473,0.5039688449756127,0.017626624174756203,0.08889102,0.0029513007
ISIC2018,SimSiam,5,0.75584304,0.14069484,0.54172605,0.24364416,0.8898835,0.06795205,0.6032553,0.20926866,0.66036814,0.16836984,7.995763636261761,2.4373678509863965,0.2423468944375458,0.35539634248914165,0.24415691,0.14069484,0.6848582,0.1333152,0.5159861,0.1969278,0.8479493,0.047562398,0.52132195,0.15602206,0.63134366,0.108960226,9.767467820542358,2.322044278473613,0.14668803820042603,0.19955603430459246,0.31514177,0.13331519,0.69784725,0.115236565,0.5348872,0.18260042,0.8126585,0.049166914,0.5319136,0.1338046,0.63108885,0.100102745,9.483400719585587,1.9443971624849592,0.15068260371300274,0.17454604182436634,0.30215275,0.11523655
ISIC2018,SimSiam,10,0.8759969,0.15066695,0.758934,0.28552264,0.9149679,0.08454698,0.7864186,0.24068339,0.8021396,0.21014895,5.86499400501223,3.140392082473436,0.5468362031707655,0.45576128310072556,0.124003075,0.15066695,0.8147343,0.1326044,0.69587773,0.21950541,0.83937865,0.024956506,0.68053466,0.17082264,0.74707603,0.12939699,7.655441029905845,2.7931489188572236,0.33008506079700056,0.2561183022655884,0.18526578,0.13260442,0.8065265,0.12247413,0.69789267,0.20865317,0.7999517,0.025623344,0.6651389,0.15405685,0.7327262,0.12308899,7.79310467574715,2.5486047435802743,0.3120592408502114,0.23413391223856964,0.19347353,0.12247411
ISIC2018,SimSiam,20,0.9937971,0.00086677575,0.9866627,0.0017955719,0.9872488,0.0022638212,0.98307335,0.0023701093,0.9793326,0.0028562772,3.2301416184228535,0.09659264175653061,0.9693101682090681,0.009173979945216397,0.0062029264,0.00086675223,0.92156947,0.0031699203,0.87468797,0.0038174824,0.84402543,0.008916477,0.82496846,0.00664699,0.85781634,0.0065058665,5.523448854160757,0.10639503454672394,0.5532132500832502,0.011932501641956092,0.07843055,0.0031699236,0.9060558,0.0015562552,0.8671128,0.004215057,0.805995,0.0025124752,0.797012,0.0028423308,0.8402344,0.003555799,5.8392723780767515,0.05674037241211638,0.5030537980907981,0.022919311713869243,0.093944155,0.001556261
