Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
ISIC2018,UNet,outsoftmax,5,ensemble,filtered,1,5,"1,2,3,4",0.7345449924468994,0.8442211151123047,0.12597884237766266,0.42369258403778076,0.17379555106163025,0.2654550075531006,10.214301161978916,0.005514396698121305
ISIC2018,UNet,outsoftmax,5,ensemble,unfiltered,5,5,,0.7041516900062561,0.0,0.0,0.35207584500312805,0.00011206419731024653,0.2958483397960663,11.37965017945359,0.0
