Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,SimSiam-UNET,outbn0,5,ensemble,filtered,5,5,,0.9362953901290894,0.8442114591598511,0.8060161471366882,0.8133608102798462,0.7822328805923462,0.06370461732149124,5.970506498395412,0.2738693358077122
KDSB,SimSiam-UNET,outbn0,5,ensemble,unfiltered,5,5,,0.9362953901290894,0.8442114591598511,0.8060161471366882,0.8133608102798462,0.7822328805923462,0.06370461732149124,5.970506498395412,0.2738693358077122
KDSB,SimSiam-UNET,outbn0,10,ensemble,filtered,5,5,,0.912486732006073,0.7550262212753296,0.7833524346351624,0.7610868215560913,0.7141225337982178,0.0875132828950882,6.8423266905612685,0.1480357900964063
KDSB,SimSiam-UNET,outbn0,10,ensemble,unfiltered,5,5,,0.912486732006073,0.7550262212753296,0.7833524346351624,0.7610868215560913,0.7141225337982178,0.0875132828950882,6.8423266905612685,0.1480357900964063
KDSB,SimSiam-UNET,outbn0,1,ensemble,filtered,5,5,,0.8801593780517578,0.7262487411499023,0.5702015161514282,0.6676401495933533,0.6543166041374207,0.119840607047081,7.853801443817771,0.20406578468212264
KDSB,SimSiam-UNET,outbn0,1,ensemble,unfiltered,5,5,,0.8801593780517578,0.7262487411499023,0.5702015161514282,0.6676401495933533,0.6543166041374207,0.119840607047081,7.853801443817771,0.20406578468212264
KDSB,SimSiam-UNET,outbn0,20,ensemble,filtered,5,5,,0.9537788033485413,0.895232617855072,0.8509160280227661,0.8594746589660645,0.8403006792068481,0.046221207827329636,5.364962949415801,0.41722997604055573
KDSB,SimSiam-UNET,outbn0,20,ensemble,unfiltered,5,5,,0.9537788033485413,0.895232617855072,0.8509160280227661,0.8594746589660645,0.8403006792068481,0.046221207827329636,5.364962949415801,0.41722997604055573
KDSB,SimSiam-UNET,outbn0,50,ensemble,filtered,5,5,,0.9611765742301941,0.8910316824913025,0.9013662338256836,0.8826172947883606,0.8799939751625061,0.0388234443962574,5.035417883854886,0.47298691295702744
KDSB,SimSiam-UNET,outbn0,50,ensemble,unfiltered,5,5,,0.9611765742301941,0.8910316824913025,0.9013662338256836,0.8826172947883606,0.8799939751625061,0.0388234443962574,5.035417883854886,0.47298691295702744
