Dataset,Label Fraction (%),Folds Combined,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,5,5,0.63475025,0.44022742,0.8638632,0.46051127,0.565705,10.51520940147751,0.0711416970889714,0.36524978
ISIC2018,10,5,0.892298,0.8352481,0.7922196,0.77224094,0.8116726,5.934207904239924,0.48117055916305923,0.10770207
ISIC2018,20,5,0.9060831,0.8856522,0.7837406,0.79472756,0.8434731,5.609502127990903,0.5550191269841264,0.09391684
ISIC2018,50,5,0.91532373,0.8768742,0.8303826,0.8157095,0.8605534,5.493647894547845,0.5485974292374287,0.08467625
