Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,w8,5,0,fold,KDSB_UNet_5pct_w8_fold0,25,87.8,False,0.7442240715026855,0.45068466663360596,0.553192138671875,0.20116254687309265,0.42788663506507874,0.3353252708911896,0.2895691990852356,0.446807861328125,0.6856616735458374,0.22905492782592773,0.2921280264854431,0.4074559211730957,0.15761959552764893,0.3143383264541626
KDSB,UNet,w8,5,1,fold,KDSB_UNet_5pct_w8_fold1,25,47.2,False,0.8002063632011414,0.47172147035598755,0.726458728313446,0.28164249658584595,0.5202265381813049,0.4633212387561798,0.3995979130268097,0.27354127168655396,0.6961379647254944,0.26907262206077576,0.36979687213897705,0.42909467220306396,0.2593027949333191,0.3038620054721832
KDSB,UNet,w8,5,2,fold,KDSB_UNet_5pct_w8_fold2,25,124.6,False,0.9928841590881348,0.33744099736213684,0.9492767453193665,0.6723886132240295,0.8971443176269531,0.7844370007514954,0.7148784399032593,0.05072326585650444,0.9426453709602356,0.8237127065658569,0.8797098398208618,0.8358803987503052,0.8344075679779053,0.057354625314474106
KDSB,UNet,w8,5,3,fold,KDSB_UNet_5pct_w8_fold3,25,46.8,False,0.9110230207443237,0.5394557118415833,0.5511687994003296,0.22604312002658844,0.9996508955955505,0.35474514961242676,0.38831403851509094,0.448831170797348,0.7381772994995117,0.40722548961639404,0.8967077732086182,0.5373938679695129,0.5914270877838135,0.2618226706981659
KDSB,UNet,w8,5,4,fold,KDSB_UNet_5pct_w8_fold4,25,46.2,False,0.9037150144577026,0.5565686821937561,0.8775421380996704,0.6866559386253357,0.49600493907928467,0.6354461312294006,0.5645569562911987,0.12245788425207138,0.733936607837677,0.39357680082321167,0.7976924180984497,0.5227377414703369,0.5877779722213745,0.266063392162323
KDSB,UNet,w8,10,0,fold,KDSB_UNet_10pct_w8_fold0,51,38.1,False,0.7800885438919067,0.5320965647697449,0.7884368896484375,0.3043942153453827,0.755962610244751,0.5234596729278564,0.594212532043457,0.2115631103515625,0.737434983253479,0.3809528350830078,0.6601173877716064,0.509597897529602,0.5745030045509338,0.2625649869441986
KDSB,UNet,w8,10,1,fold,KDSB_UNet_10pct_w8_fold1,51,60.6,False,0.7784112691879272,0.5418661832809448,0.7327438592910767,0.4054189920425415,0.7608773112297058,0.5225779414176941,0.5580952763557434,0.2672561705112457,0.7362826466560364,0.4005773067474365,0.843621015548706,0.5300637483596802,0.593242883682251,0.263717383146286
KDSB,UNet,w8,10,2,fold,KDSB_UNet_10pct_w8_fold2,51,112.7,False,0.9972731471061707,0.4485706090927124,0.897875964641571,0.5970914363861084,0.9334776401519775,0.7272006273269653,0.7480536103248596,0.10212402045726776,0.8863058090209961,0.6318984031677246,0.9302229881286621,0.7329198718070984,0.7250765562057495,0.1136941984295845
KDSB,UNet,w8,10,3,fold,KDSB_UNet_10pct_w8_fold3,51,48.6,False,0.8835905194282532,0.5176100730895996,0.8037994503974915,0.3794427514076233,0.43194568157196045,0.5214763879776001,0.40114498138427734,0.19620056450366974,0.7076833844184875,0.31601884961128235,0.4917961061000824,0.4582485258579254,0.4036213159561157,0.29231661558151245
KDSB,UNet,w8,10,4,fold,KDSB_UNet_10pct_w8_fold4,51,48.0,False,0.9668380618095398,0.5734595060348511,0.6467315554618835,0.2896360456943512,0.8482876420021057,0.4336617588996887,0.45256224274635315,0.35326844453811646,0.7334692478179932,0.3977614939212799,0.8440625667572021,0.5272020101547241,0.586211085319519,0.2665307819843292
