Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,BT-UNet,w32,5,ensemble,filtered,5,5,,0.8538658618927002,0.596571147441864,0.6604220867156982,0.6449740529060364,0.5440414547920227,0.14613410830497742,8.602876275885231,0.06180304040294004
KDSB,BT-UNet,w32,5,ensemble,unfiltered,5,5,,0.8538658618927002,0.596571147441864,0.6604220867156982,0.6449740529060364,0.5440414547920227,0.14613410830497742,8.602876275885231,0.06180304040294004
KDSB,BT-UNet,w32,10,ensemble,filtered,5,5,,0.8234430551528931,0.5233619213104248,0.5616552233695984,0.587223470211029,0.48520633578300476,0.17655697464942932,8.664869693904581,0.047863427540154824
KDSB,BT-UNet,w32,10,ensemble,unfiltered,5,5,,0.8234430551528931,0.5233619213104248,0.5616552233695984,0.587223470211029,0.48520633578300476,0.17655697464942932,8.664869693904581,0.047863427540154824
