,,FoldVal Accuracy,FoldVal Accuracy,FoldVal Precision,FoldVal Precision,FoldVal Recall,FoldVal Recall,FoldVal MeanIoU,FoldVal MeanIoU,FoldVal Dice,FoldVal Dice,FoldVal HD,FoldVal HD,FoldVal MyIoU,FoldVal MyIoU,FoldVal MAE,FoldVal MAE,Test Accuracy,Test Accuracy,Test Precision,Test Precision,Test Recall,Test Recall,Test MeanIoU,Test MeanIoU,Test Dice,Test Dice,Test HD,Test HD,Test MyIoU,Test MyIoU,Test MAE,Test MAE
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Dataset,Label Fraction (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDSB,50,0.9675498,0.0063175876,0.8820957,0.027064629,0.9166527,0.016869413,0.88921416,0.01535393,0.8785669,0.010573505,4.856671959573088,0.24779471449777365,0.4747078481126774,0.03983943567192502,0.032450166,0.006317592,0.96032315,0.0033714443,0.87691677,0.02279538,0.9160136,0.013980414,0.88169926,0.007558863,0.88557994,0.010441555,5.0213356521039545,0.16579821025184346,0.4806937125934371,0.0393624286692149,0.039676867,0.0033714487
