epoch,loss,global,dense
1,68.33561706542969,29.38500213623047,38.95061492919922
2,39.758766174316406,24.825632095336914,14.933121681213379
3,35.07513427734375,23.947412490844727,11.127725601196289
4,32.944026947021484,23.476316452026367,9.467705726623535
5,29.781763076782227,21.585073471069336,8.196685791015625
6,31.339345932006836,24.41979217529297,6.919549465179443
7,28.822547912597656,22.460134506225586,6.3624162673950195
8,27.170455932617188,21.398632049560547,5.77182149887085
9,25.230783462524414,20.086179733276367,5.144602298736572
10,24.777217864990234,19.932415008544922,4.8448004722595215
11,26.479211807250977,21.889690399169922,4.5895256996154785
12,24.329084396362305,19.989944458007812,4.339138507843018
13,25.106714248657227,20.68246841430664,4.42424201965332
14,26.02589225769043,22.011234283447266,4.014655590057373
15,24.194808959960938,20.360885620117188,3.833928108215332
16,24.19171714782715,20.25710678100586,3.9346084594726562
17,22.49542236328125,18.87384605407715,3.6215744018554688
18,22.724748611450195,19.135942459106445,3.588810682296753
19,20.57758331298828,17.264862060546875,3.3127224445343018
20,21.112079620361328,17.915456771850586,3.1966259479522705
21,21.383005142211914,18.21408462524414,3.168926239013672
22,19.345718383789062,16.34815788269043,2.997556209564209
23,20.603076934814453,17.83615493774414,2.7669241428375244
24,20.285293579101562,17.455257415771484,2.83003830909729
25,19.27223014831543,16.478071212768555,2.7941579818725586
26,20.64599609375,17.942142486572266,2.7038538455963135
27,19.806791305541992,17.165771484375,2.6410176753997803
28,19.34122085571289,16.764001846313477,2.577221393585205
29,21.888141632080078,19.431121826171875,2.4570205211639404
30,21.12264060974121,18.682754516601562,2.4398856163024902
31,19.475536346435547,16.944950103759766,2.5305862426757812
32,21.194252014160156,18.693824768066406,2.5004255771636963
33,19.620607376098633,17.16094207763672,2.459662437438965
34,18.521326065063477,16.25469207763672,2.2666313648223877
35,19.385757446289062,17.10322380065918,2.2825326919555664
36,19.474746704101562,17.102136611938477,2.3726086616516113
37,18.27763557434082,16.05381202697754,2.223825454711914
38,19.78811264038086,17.5734806060791,2.2146363258361816
39,20.35422706604004,17.922536849975586,2.4316890239715576
40,20.53299903869629,18.24204444885254,2.2909579277038574
41,18.950849533081055,16.74998664855957,2.2008631229400635
42,18.488122940063477,16.354276657104492,2.133848190307617
43,18.344999313354492,16.186628341674805,2.158369541168213
44,18.2795352935791,16.205774307250977,2.073762893676758
45,17.757898330688477,15.672613143920898,2.0852816104888916
46,18.249401092529297,16.28297996520996,1.9664206504821777
47,18.929685592651367,16.825458526611328,2.1042261123657227
48,18.238061904907227,16.246889114379883,1.9911705255508423
49,17.670804977416992,15.799530029296875,1.8712763786315918
50,18.660179138183594,16.694772720336914,1.9654061794281006
51,16.897878646850586,15.055681228637695,1.8421962261199951
52,17.766826629638672,15.949922561645508,1.8169025182724
53,19.362451553344727,17.489830017089844,1.872622013092041
54,17.77545928955078,15.894052505493164,1.881405234336853
55,17.607406616210938,15.789023399353027,1.818382978439331
56,19.66492462158203,17.7503719329834,1.9145528078079224
57,16.576988220214844,14.721168518066406,1.8558186292648315
58,16.928558349609375,15.18778133392334,1.7407761812210083
59,17.737314224243164,15.956511497497559,1.7808045148849487
60,17.17268180847168,15.405438423156738,1.7672456502914429
61,17.81161880493164,16.013742446899414,1.7978757619857788
62,18.40666961669922,16.696380615234375,1.7102857828140259
63,18.082382202148438,16.359399795532227,1.722983479499817
64,18.474834442138672,16.68672752380371,1.7881029844284058
65,17.492225646972656,15.776123046875,1.7160993814468384
66,16.80177879333496,15.117536544799805,1.6842365264892578
67,16.713687896728516,15.040262222290039,1.6734265089035034
68,16.168546676635742,14.525835990905762,1.642709493637085
69,17.379533767700195,15.731691360473633,1.6478420495986938
70,16.104541778564453,14.412961959838867,1.691577434539795
71,18.513460159301758,16.832279205322266,1.6811797618865967
72,16.377504348754883,14.7042236328125,1.673280954360962
73,16.323930740356445,14.654374122619629,1.6695549488067627
74,17.444873809814453,15.698193550109863,1.7466814517974854
75,17.530445098876953,15.890739440917969,1.6397067308425903
76,18.335853576660156,16.655851364135742,1.6799997091293335
77,17.246702194213867,15.616009712219238,1.630690097808838
78,16.84800910949707,15.252284049987793,1.5957289934158325
79,17.064329147338867,15.45316219329834,1.6111639738082886
80,17.574052810668945,15.860636711120605,1.7134182453155518
81,17.152130126953125,15.533493995666504,1.6186344623565674
82,15.995960235595703,14.39870834350586,1.597251296043396
83,16.58798599243164,14.98179817199707,1.6061867475509644
84,16.080379486083984,14.529501914978027,1.550879955291748
85,16.63160514831543,15.027741432189941,1.6038646697998047
86,17.565692901611328,15.929482460021973,1.63620924949646
87,16.2155704498291,14.65337085723877,1.562197208404541
88,17.76979637145996,16.19576644897461,1.5740259885787964
89,17.089712142944336,15.464702606201172,1.625006079673767
90,15.8222074508667,14.180827140808105,1.6413793563842773
91,16.617897033691406,15.047981262207031,1.569914698600769
92,16.100744247436523,14.470680236816406,1.6300609111785889
93,17.26286506652832,15.607369422912598,1.6554971933364868
94,15.844799995422363,14.199590682983398,1.645211100578308
95,16.962173461914062,15.383174896240234,1.5789945125579834
96,16.06560707092285,14.436076164245605,1.6295315027236938
97,15.891216278076172,14.294422149658203,1.5967942476272583
98,18.116186141967773,16.429609298706055,1.6865825653076172
99,17.076889038085938,15.454667091369629,1.6222238540649414
100,15.948137283325195,14.362401962280273,1.5857332944869995
