Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,BT-UNet,d5,5,ensemble,filtered,5,5,,0.8047771453857422,0.4830940365791321,0.7183544039726257,0.5904282927513123,0.4692629277706146,0.195222869515419,8.932658560986221,0.0307527905548086
KDSB,BT-UNet,d5,5,ensemble,unfiltered,5,5,,0.8047771453857422,0.4830940365791321,0.7183544039726257,0.5904282927513123,0.4692629277706146,0.195222869515419,8.932658560986221,0.0307527905548086
KDSB,BT-UNet,d5,10,ensemble,filtered,5,5,,0.8324064016342163,0.53461092710495,0.7596845030784607,0.6310635805130005,0.5443854331970215,0.1675935983657837,8.290564422754734,0.06331617640462266
KDSB,BT-UNet,d5,10,ensemble,unfiltered,5,5,,0.8324064016342163,0.53461092710495,0.7596845030784607,0.6310635805130005,0.5443854331970215,0.1675935983657837,8.290564422754734,0.06331617640462266
