Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,BT-UNet,noskip,5,ensemble,filtered,5,5,,0.8119754195213318,0.496002733707428,0.7167103886604309,0.5988884568214417,0.5226061940193176,0.18802456557750702,8.829745885159584,0.026129714441340206
KDSB,BT-UNet,noskip,5,ensemble,unfiltered,5,5,,0.8119754195213318,0.496002733707428,0.7167103886604309,0.5988884568214417,0.5226061940193176,0.18802456557750702,8.829745885159584,0.026129714441340206
KDSB,BT-UNet,noskip,10,ensemble,filtered,5,5,,0.7235045433044434,0.38731154799461365,0.837798535823822,0.516399621963501,0.5140290260314941,0.27649545669555664,9.71616032012916,0.021119459678079756
KDSB,BT-UNet,noskip,10,ensemble,unfiltered,5,5,,0.7235045433044434,0.38731154799461365,0.837798535823822,0.516399621963501,0.5140290260314941,0.27649545669555664,9.71616032012916,0.021119459678079756
