Dataset,Label Fraction (%),Folds Combined,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,5,2,0.7413933,0.5506341,0.68446386,0.5574436,0.6115514,9.10202203750719,0.10887431461561542,0.25860664
ISIC2018,10,5,0.891906,0.82176125,0.81040627,0.7735344,0.8128191,5.862422947148798,0.49739928571428554,0.10809398
ISIC2018,20,5,0.9100765,0.88047653,0.80537754,0.8039763,0.8475615,5.54638548335148,0.5606312301587294,0.08992349
ISIC2018,50,5,0.9177253,0.8691809,0.84980536,0.8217659,0.8603432,5.4445170449492615,0.5774063888888888,0.08227466
