Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,BT-UNet,outtanh,5,ensemble,filtered,5,5,,0.8481305241584778,0.567193329334259,0.7721962928771973,0.6542849540710449,0.5712845325469971,0.1518694907426834,8.358131859304786,0.07617400121825303
KDSB,BT-UNet,outtanh,5,ensemble,unfiltered,5,5,,0.8481305241584778,0.567193329334259,0.7721962928771973,0.6542849540710449,0.5712845325469971,0.1518694907426834,8.358131859304786,0.07617400121825303
KDSB,BT-UNet,outtanh,10,ensemble,filtered,5,5,,0.7534414529800415,0.4243849515914917,0.9161137342453003,0.5556749105453491,0.6299905776977539,0.2465585172176361,8.81617613764912,0.09806118527445547
KDSB,BT-UNet,outtanh,10,ensemble,unfiltered,5,5,,0.7534414529800415,0.4243849515914917,0.9161137342453003,0.5556749105453491,0.6299905776977539,0.2465585172176361,8.81617613764912,0.09806118527445547
