Dataset,Label Fraction (%),Folds Combined,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,5,5,0.68723625,0.48348284,0.83681554,0.5130773,0.6232956,9.746012263001466,0.1429423474876144,0.31276372
ISIC2018,10,5,0.8913582,0.8168897,0.8155997,0.7731721,0.8159895,6.030989021596833,0.44675567252192255,0.10864183
ISIC2018,20,5,0.9114741,0.881596,0.8094928,0.8068559,0.849792,5.556566874545505,0.5698663095238088,0.08852585
ISIC2018,50,5,0.9183555,0.87340224,0.84677017,0.8226336,0.8630214,5.433421011574132,0.5826518986568976,0.08164444
