Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,DBT-UNet,b1,1,ensemble,filtered,5,5,0.7564038,0.5592773,0.8331887,0.5898374,0.6304841,8.435805557885313,0.09913083857327748,0.2435962
ISIC2018,DBT-UNet,b1,5,ensemble,filtered,5,5,0.8252453,0.67248154,0.797921,0.67293125,0.6896055,7.65448600613657,0.18050942940616274,0.17475468
ISIC2018,DBT-UNet,b1,10,ensemble,filtered,5,5,0.88061315,0.7983559,0.79801786,0.7539339,0.7838314,6.283489083969687,0.3885257183502773,0.119386904
ISIC2018,DBT-UNet,b1,20,ensemble,filtered,5,5,0.9069401,0.88576025,0.7869422,0.7965653,0.8416513,5.587711170188721,0.5607755952380941,0.093059875
ISIC2018,DBT-UNet,b1,50,ensemble,filtered,5,5,0.91646665,0.8844928,0.8254437,0.81729925,0.85889554,5.4259373543275125,0.5870388233988225,0.0835334
