Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,SimSiam-UNET,w32,5,ensemble,filtered,5,5,,0.8933579921722412,0.6812467575073242,0.8011180758476257,0.7286992073059082,0.6551427245140076,0.10664203017950058,7.685580515771212,0.1145195081109006
KDSB,SimSiam-UNET,w32,5,ensemble,unfiltered,5,5,,0.8933579921722412,0.6812467575073242,0.8011180758476257,0.7286992073059082,0.6551427245140076,0.10664203017950058,7.685580515771212,0.1145195081109006
KDSB,SimSiam-UNET,w32,10,ensemble,filtered,5,5,,0.8582098484039307,0.5971595644950867,0.7288879156112671,0.662308394908905,0.6262596845626831,0.14179016649723053,8.115904605217285,0.08544414398987904
KDSB,SimSiam-UNET,w32,10,ensemble,unfiltered,5,5,,0.8582098484039307,0.5971595644950867,0.7288879156112671,0.662308394908905,0.6262596845626831,0.14179016649723053,8.115904605217285,0.08544414398987904
