Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,BT-UNet,attn,5,ensemble,filtered,5,5,,0.8698394894599915,0.6268690228462219,0.7405447959899902,0.681523323059082,0.5845293402671814,0.13016049563884735,7.8398452956189635,0.07840427380770049
KDSB,BT-UNet,attn,5,ensemble,unfiltered,5,5,,0.8698394894599915,0.6268690228462219,0.7405447959899902,0.681523323059082,0.5845293402671814,0.13016049563884735,7.8398452956189635,0.07840427380770049
KDSB,BT-UNet,attn,10,ensemble,filtered,5,5,,0.8104348182678223,0.49362948536872864,0.7686700820922852,0.6043087244033813,0.5860353112220764,0.18956516683101654,8.560436261684588,0.07060714496023436
KDSB,BT-UNet,attn,10,ensemble,unfiltered,5,5,,0.8104348182678223,0.49362948536872864,0.7686700820922852,0.6043087244033813,0.5860353112220764,0.18956516683101654,8.560436261684588,0.07060714496023436
