Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,BT-UNet,actleakyrelu,5,ensemble,filtered,5,5,,0.823886513710022,0.5176435112953186,0.7705670595169067,0.6214801073074341,0.5173001885414124,0.17611350119113922,8.650864503126959,0.0578732137147851
KDSB,BT-UNet,actleakyrelu,5,ensemble,unfiltered,5,5,,0.823886513710022,0.5176435112953186,0.7705670595169067,0.6214801073074341,0.5173001885414124,0.17611350119113922,8.650864503126959,0.0578732137147851
KDSB,BT-UNet,actleakyrelu,10,ensemble,filtered,5,5,,0.7823601961135864,0.45333558320999146,0.8300265073776245,0.5787409543991089,0.5391992330551147,0.21763981878757477,9.281847453753034,0.05124863846064266
KDSB,BT-UNet,actleakyrelu,10,ensemble,unfiltered,5,5,,0.7823601961135864,0.45333558320999146,0.8300265073776245,0.5787409543991089,0.5391992330551147,0.21763981878757477,9.281847453753034,0.05124863846064266
