Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,SimSiam-UNET,base,1,ensemble,filtered,5,5,,0.8362037539482117,0.5401514768600464,0.7990591526031494,0.6415936350822449,0.6183640956878662,0.16379623115062714,8.55531509056926,0.07912510568957314
KDSB,SimSiam-UNET,base,1,ensemble,unfiltered,5,5,,0.8362037539482117,0.5401514768600464,0.7990591526031494,0.6415936350822449,0.6183640956878662,0.16379623115062714,8.55531509056926,0.07912510568957314
KDSB,SimSiam-UNET,base,5,ensemble,filtered,5,5,,0.856372594833374,0.6236893534660339,0.573067307472229,0.6325393915176392,0.5794004797935486,0.14362740516662598,8.37967158819185,0.08592054564931159
KDSB,SimSiam-UNET,base,5,ensemble,unfiltered,5,5,,0.856372594833374,0.6236893534660339,0.573067307472229,0.6325393915176392,0.5794004797935486,0.14362740516662598,8.37967158819185,0.08592054564931159
KDSB,SimSiam-UNET,base,10,ensemble,filtered,5,5,,0.8492790460586548,0.6475614905357361,0.4150073528289795,0.5876108407974243,0.4948823153972626,0.15072095394134521,8.66445539020413,0.10702111097334628
KDSB,SimSiam-UNET,base,10,ensemble,unfiltered,5,5,,0.8492790460586548,0.6475614905357361,0.4150073528289795,0.5876108407974243,0.4948823153972626,0.15072095394134521,8.66445539020413,0.10702111097334628
KDSB,SimSiam-UNET,base,20,ensemble,filtered,5,5,,0.7421795129776001,0.37167295813560486,0.5605000853538513,0.4999964237213135,0.48765164613723755,0.2578204870223999,9.293188768715005,0.08012105116039056
KDSB,SimSiam-UNET,base,20,ensemble,unfiltered,5,5,,0.7421795129776001,0.37167295813560486,0.5605000853538513,0.4999964237213135,0.48765164613723755,0.2578204870223999,9.293188768715005,0.08012105116039056
KDSB,SimSiam-UNET,base,50,ensemble,filtered,5,5,,0.9501694440841675,0.8402773141860962,0.9036943912506104,0.8556630611419678,0.8267722129821777,0.04983052983880043,5.573857245613125,0.337485308135187
KDSB,SimSiam-UNET,base,50,ensemble,unfiltered,5,5,,0.9501694440841675,0.8402773141860962,0.9036943912506104,0.8556630611419678,0.8267722129821777,0.04983052983880043,5.573857245613125,0.337485308135187
